79807|79807|t.mom.louvre;;727
79813|79813|t.mom.louvre;;744
79185|79185|o.wadi.hamm;;59
79191|79191|sb;22;15716
79608|79608|t.mom.louvre;;382
79146|79146|o.wadi.hamm;;20
79620|79620|t.mom.louvre;;406
79634|79634|t.mom.louvre;;439
79152|79152|o.wadi.hamm;;26
79387|79387|sb;24;16220
79393|79393|sb;24;16233
79378|79378|sb;24;16208
79422|79422|sb;24;16276
79344|79344|sb;24;16143
79350|79350|sb;24;16164
79436|79436|sb;24;16326
79479|79479|t.mom.louvre;;167
79337|79337|sb;24;16137
79451|79451|t.mom.louvre;;11
79445|79445|stud.pal;5;44
79323|79323|p.eirene;1;32
79492|79492|t.mom.louvre;;184
79486|79486|t.mom.louvre;;174
79109|79109|sb;22;15587r
79653|79653|t.mom.louvre;;466
79135|79135|sb;22;15649
79121|79121|sb;22;15631
79647|79647|t.mom.louvre;;457
79874|79874|t.mom.louvre;;938
79860|79860|t.mom.louvre;;814
79848|79848|t.mom.louvre;;791
79690|79690|t.mom.louvre;;525
79684|79684|t.mom.louvre;;515
79069|79069|sb;22;15510
79727|79727|t.mom.louvre;;590
79041|79041|sb;22;15459
79055|79055|sb;22;15480
79733|79733|t.mom.louvre;;600
79900|79900|t.mom.louvre;;965
79914|79914|t.mom.louvre;;979
79082|79082|sb;22;15537
79096|79096|sb;22;15573
79928|79928|t.mom.louvre;;993
79519|79519|t.mom.louvre;;227A
79243|79243|sb;24;15921
79525|79525|t.mom.louvre;;238
79531|79531|t.mom.louvre;;251
79257|79257|sb;24;15953
79280|79280|sb;24;16003
79294|79294|sb;24;16068
79295|79295|sb;24;16072
79281|79281|sb;24;16004
79530|79530|t.mom.louvre;;250
79256|79256|sb;24;15952
79524|79524|t.mom.louvre;;237
79518|79518|t.mom.louvre;;227
79097|79097|sb;22;15574
79929|79929|t.mom.louvre;;994
79083|79083|sb;22;15541
79915|79915|t.mom.louvre;;980
79901|79901|t.mom.louvre;;966
79054|79054|sb;22;15479
79732|79732|t.mom.louvre;;599
79726|79726|t.mom.louvre;;588
79040|79040|sb;22;15458
79068|79068|sb;22;15509
79685|79685|t.mom.louvre;;518
79691|79691|t.mom.louvre;;529
79849|79849|t.mom.louvre;;792
79861|79861|t.mom.louvre;;925
79875|79875|t.mom.louvre;;939
79120|79120|sb;22;15630
79646|79646|t.mom.louvre;;453
79652|79652|t.mom.louvre;;465
79134|79134|sb;22;15648
79108|79108|sb;22;15586
79487|79487|t.mom.louvre;;179
79493|79493|t.mom.louvre;;185
79444|79444|stud.pal;5;28
79322|79322|p.eirene;1;31
79336|79336|sb;24;16136
79450|79450|t.mom.louvre;;6
79478|79478|t.mom.louvre;;160
79308|79308|p.eirene;1;9
79320|79320|p.eirene;1;29
79446|79446|stud.pal;8;1121r
79452|79452|t.mom.louvre;;18
79334|79334|sb;24;16133
79485|79485|t.mom.louvre;;173
79491|79491|t.mom.louvre;;183
79678|79678|t.mom.louvre;;507
79644|79644|t.mom.louvre;;451
